GEOID,COUNTY,POP_TOT,MALE_POP,FEMALE_POP,GDP,DEGREE_TOT,BACHELOR,MASTER,PROFFE,DOCTOR,TOT_NO_INS,MALE_INS,FEMALE_INS,BOTH_INS,TOT_POV,MALE_POV,FEMALE_POV,TOT_COMM,OTHER_COMM
30031,"Gallatin County, Montana",97958,50509,47449,33181,61913,19538,6802,1600,1790,97611,5637,4308,9945,12716,6562,6154,53521,264
30059,"Meagher County, Montana",1960,937,1023,20095,1437,241,48,13,3,1933,170,160,330,295,107,188,917,10
30009,"Carbon County, Montana",10340,5171,5169,31697,7863,1539,522,121,111,10260,561,605,1166,1108,498,610,4965,98
30001,"Beaverhead County, Montana",9317,4649,4668,28420,6279,1299,367,135,137,9186,537,498,1035,1508,628,880,4429,48
30029,"Flathead County, Montana",94696,47281,47415,28379,66344,13146,3765,1458,821,94104,7105,6103,13208,12875,6079,6796,43478,311
30065,"Musselshell County, Montana",4778,2374,2404,23908,3413,309,137,47,5,4745,317,295,612,795,344,451,1858,0
31083,"Harlan County, Nebraska",3465,1824,1641,26375,2507,312,59,39,3,3413,176,196,372,542,254,288,1593,2
31185,"York County, Nebraska",13842,6799,7043,28298,9383,1891,539,130,100,13252,520,505,1025,1218,448,770,7067,25
31019,"Buffalo County, Nebraska",48402,24188,24214,28553,29339,6769,2143,416,493,47806,2185,1766,3951,6252,2814,3438,26885,165
31037,"Colfax County, Nebraska",10499,5449,5050,23393,6461,578,206,77,38,10411,700,516,1216,1227,630,597,5110,158
31087,"Hitchcock County, Nebraska",2866,1434,1432,25290,2078,197,94,5,10,2830,194,221,415,452,233,219,1312,0
31141,"Platte County, Nebraska",32703,16488,16215,28187,21282,3113,1000,274,166,32406,1555,1335,2890,2803,1286,1517,17167,58
31143,"Polk County, Nebraska",5242,2584,2658,32424,3655,575,175,25,11,5139,289,181,470,418,201,217,2726,15
31013,"Box Butte County, Nebraska",11279,5741,5538,28483,7528,836,291,56,0,11114,420,539,959,1544,592,952,5597,35
31017,"Brown County, Nebraska",3022,1439,1583,29664,2288,268,76,37,47,2978,157,205,362,512,231,281,1571,11
31161,"Sheridan County, Nebraska",5259,2586,2673,25817,3728,652,209,58,15,5176,416,357,773,870,418,452,2527,16
31109,"Lancaster County, Nebraska",301707,151180,150527,29901,186219,44728,16269,3956,4511,297490,15428,12216,27644,41105,18658,22447,161913,766
